,_id,timestamp,device_id,screen_status
0,1,1411637331348.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,1
1,2,1411637332593.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,0
2,3,1411637332707.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2
3,4,1411637335807.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,3
4,5,1411637460838.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,1
5,6,1411637509384.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,0
6,7,1411637509493.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2
7,8,1411637509582.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,3
8,9,1411637510053.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,1
9,10,1411637540052.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,0
10,11,1411637578317.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,1
11,12,1411637580620.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,3
12,13,1411637580667.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,3
13,14,1411637580726.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,3
14,15,1411637580788.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,0
15,16,1411637599958.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,1
16,17,1411637603318.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,3
17,18,1411637603411.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,0
18,19,1411637603469.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,3
19,20,1411637603532.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,3
20,21,1411637603632.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,3
21,22,1411638937931.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,1
