,_id,timestamp,device_id,double_last_user,double_last_system,double_last_idle,double_user_load,double_system_load,double_idle_load
0,1,1411636686535.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,35729.0,28863.0,148770.0,0.0,0.0,0.0
1,2,1411636696713.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,36705.0,29906.0,150126.0,28.91851806640625,30.903703689575195,40.17777633666992
2,3,1411636756795.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,42465.0,35525.0,158113.0,29.742847442626953,29.014768600463867,41.24238204956055
3,4,1411636816874.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,48314.0,41310.0,165508.0,30.737295150756836,30.40096664428711,38.86173629760742
4,5,1411636876959.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,55545.0,47056.0,172677.0,35.892982482910156,28.521791458129883,35.585227966308594
5,6,1411636937058.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,61475.0,52750.0,179665.0,31.861164093017578,30.59316635131836,37.54566955566406
6,7,1411636997173.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,66540.0,58088.0,188075.0,26.92287254333496,28.37399673461914,44.70313262939453
7,8,1411637057376.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,71350.0,63470.0,196589.0,25.713674545288086,28.771516799926758,45.514808654785156
8,9,1411637117564.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,76139.0,68688.0,205156.0,25.783353805541992,28.093032836914062,46.12361526489258
9,10,1411637177686.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,81192.0,74060.0,213859.0,26.416770935058594,28.084484100341797,45.49874496459961
10,11,1411637237884.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,87532.0,80211.0,221252.0,31.884933471679688,30.934419631958008,37.18064880371094
11,12,1411637297981.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,92337.0,85290.0,230127.0,25.61437225341797,27.07500457763672,47.31062316894531
12,13,1411637358045.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,97539.0,90466.0,239018.0,26.99673080444336,26.861799240112305,46.14147186279297
13,14,1411637418131.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,102085.0,95398.0,248892.0,23.491111755371094,25.48573875427246,51.02315139770508
14,15,1411637478249.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,106943.0,100497.0,258392.0,24.967878341674805,26.206506729125977,48.82561492919922
15,16,1411637538393.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,113328.0,106871.0,265429.0,32.253990173339844,32.19842529296875,35.547584533691406
16,17,1411637599897.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,117961.0,112078.0,274203.0,24.889867782592773,27.973567962646484,47.13656234741211
17,18,1411637660013.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,122706.0,117216.0,285411.0,22.49774742126465,24.361101150512695,53.141151428222656
18,19,1411637720289.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,127610.0,121819.0,296035.0,24.36043930053711,22.865232467651367,52.77432632446289
19,20,1411637781910.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,132182.0,126713.0,305967.0,23.569440841674805,25.22940444946289,51.20115661621094
20,21,1411637842153.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,136522.0,131345.0,317740.0,20.920703887939453,22.328271865844727,56.75102615356445
21,22,1411637902224.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,141291.0,136589.0,327452.0,24.177440643310547,26.585552215576172,49.23700714111328
22,23,1411637962325.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,145967.0,141598.0,336870.0,24.47783088684082,26.221012115478516,49.30115509033203
23,24,1411638022409.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,150437.0,146518.0,346843.0,23.08526611328125,25.409286499023438,51.50544738769531
24,25,1411638082494.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,155132.0,151342.0,356428.0,24.576005935668945,25.251256942749023,50.17273712158203
25,26,1411638142570.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,159665.0,156098.0,366790.0,23.067527770996094,24.20233154296875,52.730140686035156
26,27,1411638202678.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,164299.0,161243.0,375593.0,24.938112258911133,27.688085556030273,47.373802185058594
27,28,1411638263057.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,168864.0,166174.0,385410.0,23.63692855834961,25.532024383544922,50.83104705810547
28,29,1411638323127.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,173343.0,170948.0,395772.0,22.834566116333008,24.338516235351562,52.82691955566406
29,30,1411638383968.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,178118.0,175906.0,405124.0,25.019649505615234,25.978517532348633,49.001834869384766
30,31,1411638444244.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,182682.0,180723.0,415511.0,23.087818145751953,24.367664337158203,52.544517517089844
31,32,1411638504344.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,187402.0,185797.0,425431.0,23.94237518310547,25.738054275512695,50.3195686340332
32,33,1411638564454.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,191937.0,190616.0,435679.0,23.135395050048828,24.584226608276367,52.28038024902344
33,34,1411638624534.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,196548.0,195474.0,445350.0,24.090909957885742,25.38140106201172,50.52769088745117
34,35,1411638684592.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,200942.0,200167.0,456633.0,21.570938110351562,23.038782119750977,55.390281677246094
35,36,1411638744788.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,205563.0,205014.0,466491.0,23.91079330444336,25.080202102661133,51.009002685546875
36,37,1411638804857.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,210071.0,209879.0,476394.0,23.386594772338867,25.238637924194336,51.3747673034668
37,38,1411638865558.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,214326.0,214408.0,486340.0,22.717565536499023,24.18045997619629,53.10197448730469
38,39,1411638925776.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,219345.0,219297.0,496573.0,24.91931915283203,24.273868560791016,50.80681228637695
39,40,1411638985883.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,226414.0,225288.0,503436.0,35.481605529785156,30.070772171020508,34.44762420654297
40,41,1411639045988.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,231453.0,230682.0,511813.0,26.788942337036133,28.67623519897461,44.534820556640625
